"","DO","Solar radiation","Precipitation","pH","Temp","TN","TP","Chl.a","TNTP","NONH","Turb","Cyano","category"
"41",7.62,22.72,1.66,8.54,24.8,1.655,0.079,12.5,20.95,64.67,23.1,930,"low"
"42",5.91,22.07,0,8.42,27,0.62,0.11,3.1,5.64,0.38,11.6,48,"safe"
"43",7.96,11.71,10.72,8.06,14.9,0.906,0.08,2.2,11.33,0.3,20.7,362,"safe"
"44",10.01,10.71,0.09,8.59,10.9,0.695,0.13,13.9,5.35,3.93,25.7,1,"safe"
"45",10.9,22.61,0,8.34,14.6,0.787,0.114,3.2,6.9,0.46,10.9,1191,"low"
"46",6.84,26.86,0.9,8.35,25.4,0.989,0.12,11,8.24,8,17.7,7884,"high alert"
"47",8.38,29.02,0,8.51,27.4,1.274,0.125,25.6,10.19,1.33,29.6,13910,"high alert"
"48",6.48,27.9,0.17,8.56,26.1,0.76,0.05,3.7,15.2,1,13,2645,"medium"
"49",7.92,14.47,0.69,8.2,17.1,0.997,0.134,21.9,7.44,1.06,19,100983,"very high alert"
"50",6.41,19.7,0.87,8.02,22.1,1.159,0.13,2.6,8.92,3.77,23,107,"safe"
"51",7.09,23.8,0,8.51,23.6,0.817,0.39,12.7,2.09,8,31.7,3217,"medium"
"52",6.92,28.68,0,8.45,25.4,0.698,0.12,4.9,5.82,5.02,25.2,7377,"high alert"
"53",5.96,17.99,1.41,8.42,25.8,0.778,0.091,20.2,8.55,0.57,10.7,4412,"medium"
"54",4.97,27.63,28.77,8.14,25,0.785,0.11,8.4,7.14,1,14.9,35,"safe"
"55",6.77,27.4,13.13,8.02,21.3,1.162,0.172,2.7,6.76,0.53,20.5,18,"safe"
"56",5.36,12.1,0.29,8.09,24.6,0.844,0.11,7.2,7.67,6,14.5,12420,"high alert"
"57",12.65,11.37,0,8.68,4.1,0.695,0.06,13.4,11.58,0.13,5.5,10203,"high alert"
"58",14.42,13.21,0.18,8,1.2,0.566,0.015,8.7,37.73,0.67,1.6,2228,"medium"
"59",5.82,9.86,0.62,7.87,25.2,0.835,0.04,12.4,20.88,8.67,11.9,19544,"high alert"
"60",8.24,16.48,0.01,8.23,16.1,1.2,0.094,2.5,12.77,0.51,23.7,367,"safe"
"61",9.21,16,0,8.38,14.5,0.821,0.17,13,4.83,1.95,23.8,2892,"medium"
"62",8.2,21.24,0.92,8.66,26.8,1.494,0.101,19.7,14.79,38,17.3,25600,"high alert"
"63",7.43,17.95,4.9,8.47,25.1,0.782,0.09,10.9,8.69,4,13.4,7519,"high alert"
"64",8.68,11.8,0,8.21,16.8,0.757,0.07,15.5,10.81,0.61,13.6,11406,"high alert"
"65",8.03,22.54,3.88,8.53,27.7,1.358,0.081,27.5,16.77,5.67,11.5,83054,"very high alert"
"66",10.68,12.05,0,8.26,9.3,0.805,0.07,6.4,11.5,3.19,20.5,5053,"medium"
"67",11.6,14.15,1.47,8.52,5.2,1.407,0.17,11.5,8.28,21.75,18.2,1,"safe"
"68",12.63,12.7,0.47,8.52,1.9,0.858,0.03,10.8,28.6,4.75,2.6,28601,"high alert"
"69",11.72,8.75,0,8.31,1.9,0.766,0.066,4.5,11.61,3.4,6.2,6811,"high alert"
"70",12.7,13.1,0.02,8.05,7.7,0.847,0.065,19.2,13.03,6.67,5.5,3803,"medium"
"71",7.44,29.2,0.01,8.35,23.7,0.741,0.14,5.8,5.29,17.63,30.2,241,"safe"
"72",7.68,16.99,0.5,8.29,18.1,0.863,0.092,1.2,9.38,0.85,9.5,22,"safe"
"73",4.87,28.19,0,8.11,26.7,1.279,0.13,3.6,9.84,6.29,21,1251,"low"
"74",8.79,6.06,2.88,8.44,17.5,1.397,0.18,2.4,7.76,17,34.9,1,"safe"
"75",13.6,10.48,0,8.29,2.5,0.912,0.061,10.4,14.95,3.33,3.5,3267,"medium"
"76",5.24,23.88,1.02,8.19,25.4,0.798,0.11,3.4,7.25,0.58,17.7,705,"low"
"77",12.6,7.95,0,8.42,0.8,1.393,0.09,1.7,15.48,6.18,6.7,1,"safe"
"78",8.21,23.15,9.26,8.34,23.7,0.92,0.069,16.1,13.33,0.62,10,98382,"very high alert"
"79",9.84,11.77,0,8.36,13.4,0.718,0.085,7.5,8.45,0.43,15.6,4534,"medium"
"80",8.94,14.54,0,7.82,14.5,0.783,0.07,8.1,11.19,0.67,14.5,1839,"low"
"81",6.47,25.03,0,8.17,26,1.018,0.19,3.8,5.36,9.6,37.8,1,"safe"
"82",6.8,25.34,0.06,7.9,21.4,0.771,0.08,0.9,9.64,0.27,9.4,138,"safe"
"83",6.54,28.8,0,8.31,25.7,0.876,0.096,24.4,9.13,0.7,22.6,26944,"high alert"
"84",9.58,15.62,0.02,8.26,12.2,1,0.09,2.5,11.11,10.5,14.8,1,"safe"
"85",12.27,12.16,0,8.84,4.4,0.694,0.05,24.9,13.88,4,7.7,5268,"medium"
"86",9.62,22.69,0.55,8.31,10.3,0.856,0.082,9.6,10.44,0.08,19.1,5892,"medium"
"87",7.04,18.36,0,8.3,20.8,0.968,0.088,31.3,11,0.75,21.6,53810,"high alert"
"88",6.64,24.57,0.01,8.34,23.4,0.789,0.15,9.1,5.26,3.6,25,356,"safe"
"89",8.87,25.95,0,8.41,17.9,0.774,0.07,11.9,11.06,0.53,18.1,2349,"medium"
"90",7.58,22.07,3.94,8.6,27.8,0.619,0.16,20.5,3.87,0.79,22,1860,"low"
"91",8.56,25.3,0,8.29,11.6,0.811,0.05,6.1,16.22,0.08,9.2,4319,"medium"
"92",6.24,29.52,0,8.08,24.4,0.971,0.17,10.9,5.71,5,11.7,1258,"low"
"93",7.58,18.85,0,8.32,19.6,1.402,0.23,1.5,6.1,26.33,59.2,1,"safe"
"94",13.19,5.79,0,8.25,0.8,0.806,0.06,21.1,13.43,31.33,7.3,2141,"medium"
"95",11.94,10.51,0.01,8.48,5.1,0.593,0.06,11.2,9.88,0.83,18.1,10854,"high alert"
"96",7.65,27.57,0,8.48,26.3,0.997,0.1,26.9,9.97,3.4,19.6,9229,"high alert"
"97",10.15,25.56,3.01,8.64,27.9,1.246,0.13,14.7,9.58,0.67,35.8,14271,"high alert"
"98",6.64,18.43,0.06,8.28,23.2,0.79,0.089,7.4,8.88,2.5,15.1,951,"low"
"99",9.57,23.29,0,7.99,14.6,1.465,0.08,7.6,18.31,12.5,38.9,16662,"high alert"
"100",7.72,20.23,1.61,8.61,27,0.97,0.167,20.6,5.81,16,17.7,1236,"low"
"101",8.52,26.96,12.04,8.19,23.5,0.842,0.04,6.6,21.05,0.71,15,5847,"medium"
"102",8.71,20.02,0.02,8.5,24.2,0.91,0.112,41.2,8.13,3.71,10.3,129836,"very high alert"
"103",6.28,26.91,7.63,7.86,27.1,1.001,0.14,4,7.15,9.5,23.6,153,"safe"
"104",8.04,23.73,1.89,8.22,17.6,1.062,0.1,1.2,10.62,1,21,1,"safe"
"105",7.58,20.4,0,8.51,21.4,0.853,0.1,14.1,8.53,2,26.6,4107,"medium"
"106",11.75,10.69,0,8.37,4.2,1.371,0.24,1.1,5.71,54.67,44.9,1,"safe"
"107",10.19,7.59,0.1,8.32,10.2,1.364,0.22,1.9,6.2,20.5,53.8,1,"safe"
"108",13.83,7.21,7.87,8.79,5.7,0.925,0.07,32.1,13.21,0.14,13.4,1,"safe"
"109",7.57,28.2,0,8.54,24.2,0.812,0.09,26.6,9.02,0.58,32.9,30014,"high alert"
"110",9.45,12.44,0,7.99,12.7,1.032,0.09,3.7,11.47,8.4,19.8,4403,"medium"
"111",7.52,16.34,0.66,8.41,22.2,0.842,0.11,16.6,7.65,2,13.4,7625,"high alert"
"112",13.24,11.01,0,8.66,1,0.522,0.015,6.1,34.8,1.77,4,32993,"high alert"
"113",9.15,16.25,0,8.53,15.7,0.711,0.14,12.5,5.08,1.4,22.2,6841,"high alert"
"114",7.68,24.98,13.89,8.36,26.8,0.793,0.082,20.5,9.67,0.6,9.9,11954,"high alert"
"115",9.96,13.53,0,8.24,11.5,0.812,0.11,11.5,7.38,2.83,27.3,2489,"medium"
"116",5.07,24.01,0,8.15,23.3,0.817,0.111,11.8,7.36,0.75,27,987,"low"
"117",7.31,28.89,0.01,8.45,23.2,1.411,0.14,4.6,10.08,21.75,52.2,1,"safe"
"118",8.8,25.18,0.01,8.54,16.2,0.936,0.08,3.7,11.7,6.78,71.7,1,"safe"
"119",9.05,3.35,1.53,8.06,12.8,0.785,0.088,16.2,8.92,0.19,21.3,40922,"high alert"
"120",11.47,20.69,0,8.62,6.4,0.831,0.03,27.5,27.7,0.33,9.3,1701,"low"
"121",8.47,9.13,13.23,8.15,16.9,0.904,0.1,8.4,9.04,5,26.2,6623,"high alert"
"122",7.98,22.03,0.36,8.42,25.6,0.816,0.125,12.3,6.53,2,24.1,5326,"medium"
"123",6.16,15.84,0.96,8.28,22.3,0.789,0.05,2,15.78,4.25,4.8,2934,"medium"
"124",12.36,16.38,0.02,8.27,6.4,0.971,0.08,12.3,12.14,21.33,19.5,412,"safe"
"125",11.31,20.81,0.01,8.59,8.5,0.782,0.05,18.7,15.64,0.67,11.1,1966,"low"
"126",8.41,24.66,0,8.31,26.8,0.925,0.11,12.1,8.41,1.09,11.4,10699,"high alert"
"127",6.32,11.66,25.6,7.97,22.7,1.169,0.153,2.2,7.64,13.5,27.8,80,"safe"
"128",12.36,15.84,0,8.41,6.9,0.859,0.111,20.3,7.74,12,8.9,5705,"medium"
"129",11.45,15.8,0,8.38,5.2,0.747,0.04,19.8,18.68,1.75,11.7,4010,"medium"
"130",7.17,27.45,0,8.31,21.3,0.851,0.1,4.5,8.51,0.78,25.5,1,"safe"
"131",13.22,10.94,0,8.05,1,0.857,0.09,2.4,9.52,21.7,11.5,2112,"medium"
"132",6.23,23.91,0,8.3,24.3,0.854,0.1,5.8,8.54,4.4,16.4,934,"low"
"133",9.61,13.39,0,8.47,11.9,0.832,0.067,12.7,12.42,5,18.3,7788,"high alert"
"134",6.6,20.14,1.1,8.95,27.7,0.601,0.22,33.5,2.73,0.67,35.4,40298,"high alert"
"135",5.74,25.31,0.01,8.07,28.6,1.017,0.2,5.1,5.09,29.33,30.8,133,"safe"
"136",12.82,8.14,0,8.46,2.1,0.853,0.22,5.2,3.88,6.13,27.5,1,"safe"
"137",7.82,28.34,0,8.31,20.5,0.903,0.1,6,9.03,12.35,25.2,1,"safe"
"138",10.63,12.2,0.1,8.46,11.3,0.994,0.12,18.4,8.28,1.29,20.6,2921,"medium"
