LAT,LON,YEAR,MO,DY,PRECTOT,ALLSKY_SFC_SW_DWN,WS10M_RANGE,Date
37.72531,-97.79759,2002,9,15,0,23.4,4.79,2002-09-15
37.72531,-97.79759,2002,9,16,0,22,3.52,2002-09-16
37.72531,-97.79759,2002,9,17,0.42,20.92,6.06,2002-09-17
37.72531,-97.79759,2002,9,18,7.45,17.93,7.2,2002-09-18
37.72531,-97.79759,2002,9,19,4.96,4.25,8.23,2002-09-19
37.72531,-97.79759,2002,9,20,0,21.85,2.44,2002-09-20
37.72531,-97.79759,2002,9,21,0.06,21.35,6.59,2002-09-21
37.72531,-97.79759,2002,9,22,0,21.38,5.72,2002-09-22
37.72531,-97.79759,2002,9,23,0,20.84,3.28,2002-09-23
37.72531,-97.79759,2002,9,24,0.12,20.3,4.76,2002-09-24
37.72531,-97.79759,2002,9,25,0,20.38,4.5,2002-09-25
37.72531,-97.79759,2002,9,26,0,18.72,5.38,2002-09-26
37.72531,-97.79759,2002,9,27,0,16.45,3.72,2002-09-27
37.72531,-97.79759,2002,9,28,0.04,16.63,4.56,2002-09-28
37.72531,-97.79759,2002,9,29,0,19.04,4.34,2002-09-29
37.72531,-97.79759,2002,9,30,0.54,18.68,3.06,2002-09-30
37.72531,-97.79759,2002,10,1,4.2,11.59,3.6,2002-10-01
37.72531,-97.79759,2002,10,2,72.26,3.02,5.53,2002-10-02
37.72531,-97.79759,2002,10,3,33.37,6.08,3.2,2002-10-03
37.72531,-97.79759,2002,10,4,0.42,20.38,10.3,2002-10-04
37.72531,-97.79759,2002,10,5,0.16,19.94,6.83,2002-10-05
37.72531,-97.79759,2002,10,6,0.09,18.76,7.42,2002-10-06
37.72531,-97.79759,2002,10,7,0.01,19.15,3.82,2002-10-07
37.72531,-97.79759,2002,10,8,0.62,7.09,3.34,2002-10-08
37.72531,-97.79759,2002,10,9,0.08,17.82,2.8,2002-10-09
37.72531,-97.79759,2002,10,10,0,17.46,2.99,2002-10-10
37.72531,-97.79759,2002,10,11,0.07,8.39,5.23,2002-10-11
37.72531,-97.79759,2002,10,12,0.36,10.94,10.87,2002-10-12
37.72531,-97.79759,2002,10,13,0,17.96,3.33,2002-10-13
37.72531,-97.79759,2002,10,14,0.01,18.68,5.7,2002-10-14
37.72531,-97.79759,2002,10,15,0.01,18.29,3.98,2002-10-15
37.72531,-97.79759,2002,10,16,0.52,4.68,4.42,2002-10-16
37.72531,-97.79759,2002,10,17,0,17.6,2.75,2002-10-17
37.72531,-97.79759,2002,10,18,1.76,10.08,7.77,2002-10-18
37.72531,-97.79759,2002,10,19,1.59,9.86,6.46,2002-10-19
37.72531,-97.79759,2002,10,20,0.02,17.82,2.34,2002-10-20
37.72531,-97.79759,2002,10,21,0.96,10.55,2.01,2002-10-21
37.72531,-97.79759,2002,10,22,8.17,9.54,5.39,2002-10-22
37.72531,-97.79759,2002,10,23,15.35,3.24,2.25,2002-10-23
37.72531,-97.79759,2002,10,24,11.35,2.81,2.01,2002-10-24
37.72531,-97.79759,2002,10,25,2.57,6.91,2.79,2002-10-25
37.72531,-97.79759,2002,10,26,1.57,10.58,1.03,2002-10-26
37.72531,-97.79759,2002,10,27,17.15,5.04,5.23,2002-10-27
37.72531,-97.79759,2002,10,28,3.2,4.5,1.75,2002-10-28
37.72531,-97.79759,2002,10,29,2.79,4.43,2.37,2002-10-29
37.72531,-97.79759,2002,10,30,0.46,4.68,4.77,2002-10-30
37.72531,-97.79759,2002,10,31,0.12,4.1,2.89,2002-10-31
37.72531,-97.79759,2002,11,1,0.18,5.58,3.02,2002-11-01
37.72531,-97.79759,2002,11,2,2.42,3.78,3.49,2002-11-02
37.72531,-97.79759,2002,11,3,0.5,9.18,7.53,2002-11-03
37.72531,-97.79759,2002,11,4,0.73,9.9,2.13,2002-11-04
37.72531,-97.79759,2002,11,5,0,7.45,9.17,2002-11-05
37.72531,-97.79759,2002,11,6,0.01,14.58,3.46,2002-11-06
37.72531,-97.79759,2002,11,7,0,14.83,5.37,2002-11-07
37.72531,-97.79759,2002,11,8,0,12.89,5.29,2002-11-08
37.72531,-97.79759,2002,11,9,0,11.48,3.23,2002-11-09
37.72531,-97.79759,2002,11,10,0,12.2,4.86,2002-11-10
37.72531,-97.79759,2002,11,11,0.08,13.03,2.47,2002-11-11
37.72531,-97.79759,2002,11,12,0,13.86,4.01,2002-11-12
37.72531,-97.79759,2002,11,13,0.03,12.82,5.09,2002-11-13
37.72531,-97.79759,2002,11,14,2.9,3.74,5.93,2002-11-14
37.72531,-97.79759,2002,11,15,0.05,9.29,3.64,2002-11-15
37.72531,-97.79759,2002,11,16,0,12.74,2.06,2002-11-16
37.72531,-97.79759,2002,11,17,0.1,12.85,3.16,2002-11-17
37.72531,-97.79759,2002,11,18,0.03,12.53,10.08,2002-11-18
37.72531,-97.79759,2002,11,19,0.14,10.51,3.71,2002-11-19
37.72531,-97.79759,2002,11,20,1.26,12.17,4.5,2002-11-20
37.72531,-97.79759,2002,11,21,0.05,11.95,7.09,2002-11-21
37.72531,-97.79759,2002,11,22,0,11.92,5.51,2002-11-22
37.72531,-97.79759,2002,11,23,0,11.34,4.17,2002-11-23
37.72531,-97.79759,2002,11,24,0.01,10.15,5.82,2002-11-24
37.72531,-97.79759,2002,11,25,0,9.22,4.53,2002-11-25
37.72531,-97.79759,2002,11,26,0,9.04,7.74,2002-11-26
37.72531,-97.79759,2002,11,27,0,11.34,5.21,2002-11-27
37.72531,-97.79759,2002,11,28,0,11.45,2.49,2002-11-28
37.72531,-97.79759,2002,11,29,0,6.91,3.7,2002-11-29
37.72531,-97.79759,2002,11,30,0,11.09,7.26,2002-11-30
37.72531,-97.79759,2002,12,1,0,11.81,6.24,2002-12-01
37.72531,-97.79759,2002,12,2,0.01,11.7,4.95,2002-12-02
37.72531,-97.79759,2002,12,3,5.6,4.1,1.57,2002-12-03
37.72531,-97.79759,2002,12,4,4.04,3.17,3.53,2002-12-04
37.72531,-97.79759,2002,12,5,0.06,2.7,2.02,2002-12-05
37.72531,-97.79759,2002,12,6,0.09,3.74,2.97,2002-12-06
37.72531,-97.79759,2002,12,7,0.11,3.35,2.1,2002-12-07
37.72531,-97.79759,2002,12,8,0.1,5.15,3.94,2002-12-08
37.72531,-97.79759,2002,12,9,0,7.42,3.51,2002-12-09
37.72531,-97.79759,2002,12,10,0.08,5.11,2.78,2002-12-10
37.72531,-97.79759,2002,12,11,0.76,3.28,2.45,2002-12-11
37.72531,-97.79759,2002,12,12,7.14,1.26,5.84,2002-12-12
37.72531,-97.79759,2002,12,13,0.02,11.3,5.92,2002-12-13
37.72531,-97.79759,2002,12,14,0.12,11.12,1.48,2002-12-14
37.72531,-97.79759,2002,12,15,0.02,10.94,2.82,2002-12-15
37.72531,-97.79759,2002,12,16,0.16,10.66,5.07,2002-12-16
37.72531,-97.79759,2002,12,17,0.05,8.96,5.42,2002-12-17
37.72531,-97.79759,2002,12,18,0.02,10.91,2.59,2002-12-18
37.72531,-97.79759,2002,12,19,0.01,10.84,3.54,2002-12-19
37.72531,-97.79759,2002,12,20,0,11.41,4.73,2002-12-20
37.72531,-97.79759,2002,12,21,0.01,9.9,8.63,2002-12-21
37.72531,-97.79759,2002,12,22,0.09,8.64,2.29,2002-12-22
37.72531,-97.79759,2002,12,23,3.54,1.94,6.66,2002-12-23
37.72531,-97.79759,2002,12,24,0.55,3.31,3.09,2002-12-24
37.72531,-97.79759,2002,12,25,0,4.43,1.53,2002-12-25
37.72531,-97.79759,2002,12,26,1.26,1.87,2.61,2002-12-26
37.72531,-97.79759,2002,12,27,0.01,5.08,2.4,2002-12-27
37.72531,-97.79759,2002,12,28,0.21,5.33,1.7,2002-12-28
37.72531,-97.79759,2002,12,29,0.08,8.14,4.15,2002-12-29
37.72531,-97.79759,2002,12,30,0,7.49,5.47,2002-12-30
37.72531,-97.79759,2002,12,31,0.04,11.2,3.11,2002-12-31
37.72531,-97.79759,2003,1,1,0.24,2.63,5.12,2003-01-01
37.72531,-97.79759,2003,1,2,0.01,7.27,6.13,2003-01-02
37.72531,-97.79759,2003,1,3,0,10.91,3.93,2003-01-03
37.72531,-97.79759,2003,1,4,0,10.48,3.68,2003-01-04
37.72531,-97.79759,2003,1,5,0,5.29,4.68,2003-01-05
37.72531,-97.79759,2003,1,6,0,4.14,4.33,2003-01-06
37.72531,-97.79759,2003,1,7,0,11.16,2.25,2003-01-07
37.72531,-97.79759,2003,1,8,0.01,11.38,3.34,2003-01-08
37.72531,-97.79759,2003,1,9,0,11.59,8.12,2003-01-09
37.72531,-97.79759,2003,1,10,0,10.91,5.44,2003-01-10
37.72531,-97.79759,2003,1,11,0.01,9.29,1.43,2003-01-11
37.72531,-97.79759,2003,1,12,0,9.76,3.89,2003-01-12
37.72531,-97.79759,2003,1,13,0,7.56,4.58,2003-01-13
37.72531,-97.79759,2003,1,14,0.34,10.26,5.47,2003-01-14
37.72531,-97.79759,2003,1,15,1.35,2.99,6.63,2003-01-15
37.72531,-97.79759,2003,1,16,0.06,7.27,8.94,2003-01-16
37.72531,-97.79759,2003,1,17,0,9.18,3.99,2003-01-17
37.72531,-97.79759,2003,1,18,0.13,9.58,5.74,2003-01-18
37.72531,-97.79759,2003,1,19,0,12.35,4.16,2003-01-19
37.72531,-97.79759,2003,1,20,0,12.53,6.36,2003-01-20
37.72531,-97.79759,2003,1,21,0,11.48,3.84,2003-01-21
37.72531,-97.79759,2003,1,22,0.05,5.62,4.79,2003-01-22
37.72531,-97.79759,2003,1,23,0,8.32,3.14,2003-01-23
37.72531,-97.79759,2003,1,24,0,8.42,3.76,2003-01-24
37.72531,-97.79759,2003,1,25,0,11.2,6.02,2003-01-25
37.72531,-97.79759,2003,1,26,0,10.8,6.56,2003-01-26
37.72531,-97.79759,2003,1,27,0,11.02,2.59,2003-01-27
37.72531,-97.79759,2003,1,28,0,11.95,6.87,2003-01-28
37.72531,-97.79759,2003,1,29,0.04,7.63,5.62,2003-01-29
37.72531,-97.79759,2003,1,30,0.06,10.3,5.97,2003-01-30
37.72531,-97.79759,2003,1,31,0,14.29,8.01,2003-01-31
37.72531,-97.79759,2003,2,1,0,11.38,2.57,2003-02-01
37.72531,-97.79759,2003,2,2,0,11.77,4.13,2003-02-02
37.72531,-97.79759,2003,2,3,0.29,5.47,8.77,2003-02-03
37.72531,-97.79759,2003,2,4,0.02,10.58,2.88,2003-02-04
37.72531,-97.79759,2003,2,5,0.51,8.96,2.11,2003-02-05
37.72531,-97.79759,2003,2,6,1.56,4,7.61,2003-02-06
37.72531,-97.79759,2003,2,7,0,10.26,4.83,2003-02-07
37.72531,-97.79759,2003,2,8,0.07,13.46,4.75,2003-02-08
37.72531,-97.79759,2003,2,9,3.14,5.58,2.9,2003-02-09
37.72531,-97.79759,2003,2,10,0.18,13.21,3.5,2003-02-10
37.72531,-97.79759,2003,2,11,0.22,15.44,3.04,2003-02-11
37.72531,-97.79759,2003,2,12,0.09,16.13,3.69,2003-02-12
37.72531,-97.79759,2003,2,13,11.79,3.31,4.94,2003-02-13
37.72531,-97.79759,2003,2,14,1.51,8.93,6.63,2003-02-14
37.72531,-97.79759,2003,2,15,0.04,2.27,3.21,2003-02-15
37.72531,-97.79759,2003,2,16,0,14.4,5.51,2003-02-16
37.72531,-97.79759,2003,2,17,0,15.77,2.49,2003-02-17
37.72531,-97.79759,2003,2,18,5.49,3.89,2.29,2003-02-18
37.72531,-97.79759,2003,2,19,0.17,17.53,2.16,2003-02-19
37.72531,-97.79759,2003,2,20,0,16.42,3.94,2003-02-20
37.72531,-97.79759,2003,2,21,0.08,10.12,3.79,2003-02-21
37.72531,-97.79759,2003,2,22,0,14.62,6.06,2003-02-22
37.72531,-97.79759,2003,2,23,10.75,4.43,3.7,2003-02-23
37.72531,-97.79759,2003,2,24,0.1,6.23,5.21,2003-02-24
37.72531,-97.79759,2003,2,25,0.57,6.12,1.76,2003-02-25
37.72531,-97.79759,2003,2,26,0.36,11.34,1.46,2003-02-26
37.72531,-97.79759,2003,2,27,1.73,7.42,1.63,2003-02-27
37.72531,-97.79759,2003,2,28,0.42,7.31,1.81,2003-02-28
37.72531,-97.79759,2003,3,1,0.77,5.18,1.97,2003-03-01
37.72531,-97.79759,2003,3,2,0.03,10.37,6.63,2003-03-02
37.72531,-97.79759,2003,3,3,0.04,13.75,5.54,2003-03-03
37.72531,-97.79759,2003,3,4,0.41,3.74,9.26,2003-03-04
37.72531,-97.79759,2003,3,5,0.01,6.48,6.54,2003-03-05
37.72531,-97.79759,2003,3,6,0,17.75,5.19,2003-03-06
37.72531,-97.79759,2003,3,7,0.04,19.15,3.33,2003-03-07
37.72531,-97.79759,2003,3,8,0.01,18.9,6.99,2003-03-08
37.72531,-97.79759,2003,3,9,0,18.07,3.02,2003-03-09
37.72531,-97.79759,2003,3,10,0.03,18.43,2.82,2003-03-10
37.72531,-97.79759,2003,3,11,0.74,8.03,4.39,2003-03-11
37.72531,-97.79759,2003,3,12,0.13,9.4,4.46,2003-03-12
37.72531,-97.79759,2003,3,13,0,19.15,4.5,2003-03-13
37.72531,-97.79759,2003,3,14,0.01,19.12,4.43,2003-03-14
37.72531,-97.79759,2003,3,15,0.08,18.04,3.89,2003-03-15
37.72531,-97.79759,2003,3,16,3.82,18.97,4.72,2003-03-16
37.72531,-97.79759,2003,3,17,25.42,10.26,3.76,2003-03-17
37.72531,-97.79759,2003,3,18,33.73,3.92,5.8,2003-03-18
37.72531,-97.79759,2003,3,19,24.55,3.17,6.01,2003-03-19
37.72531,-97.79759,2003,3,20,2.84,4,9.03,2003-03-20
37.72531,-97.79759,2003,3,21,0,21.42,2.94,2003-03-21
37.72531,-97.79759,2003,3,22,0.01,19.44,4.38,2003-03-22
37.72531,-97.79759,2003,3,23,0,22.61,4.94,2003-03-23
37.72531,-97.79759,2003,3,24,0.06,23.36,7.24,2003-03-24
37.72531,-97.79759,2003,3,25,0.69,17.68,7.43,2003-03-25
37.72531,-97.79759,2003,3,26,0,22.68,6.5,2003-03-26
37.72531,-97.79759,2003,3,27,0.05,13.97,4.65,2003-03-27
37.72531,-97.79759,2003,3,28,0,16.78,5.57,2003-03-28
37.72531,-97.79759,2003,3,29,0,25.16,9.08,2003-03-29
37.72531,-97.79759,2003,3,30,0,25.45,3.72,2003-03-30
37.72531,-97.79759,2003,3,31,0,24.34,4.46,2003-03-31
37.72531,-97.79759,2003,4,1,0,25.6,3.25,2003-04-01
37.72531,-97.79759,2003,4,2,0,25.13,3.28,2003-04-02
37.72531,-97.79759,2003,4,3,0.06,13.68,4.99,2003-04-03
37.72531,-97.79759,2003,4,4,0.14,17.24,7.29,2003-04-04
37.72531,-97.79759,2003,4,5,0.18,10.87,4.01,2003-04-05
37.72531,-97.79759,2003,4,6,2.16,10.8,3.9,2003-04-06
37.72531,-97.79759,2003,4,7,0,22.25,4.32,2003-04-07
37.72531,-97.79759,2003,4,8,0.01,18.97,6.31,2003-04-08
37.72531,-97.79759,2003,4,9,0.01,27.18,3.89,2003-04-09
37.72531,-97.79759,2003,4,10,0,26.68,3.58,2003-04-10
37.72531,-97.79759,2003,4,11,0,26.46,2.35,2003-04-11
37.72531,-97.79759,2003,4,12,0,26.53,2.63,2003-04-12
37.72531,-97.79759,2003,4,13,0.01,21.24,5.53,2003-04-13
37.72531,-97.79759,2003,4,14,1.1,26.24,4.18,2003-04-14
37.72531,-97.79759,2003,4,15,15.95,7.42,4.48,2003-04-15
37.72531,-97.79759,2003,4,16,0.54,11.56,6.24,2003-04-16
37.72531,-97.79759,2003,4,17,0,22.43,5.37,2003-04-17
37.72531,-97.79759,2003,4,18,3.47,23.22,6.69,2003-04-18
37.72531,-97.79759,2003,4,19,35.56,6.05,8.17,2003-04-19
37.72531,-97.79759,2003,4,20,0.2,24.3,5.32,2003-04-20
37.72531,-97.79759,2003,4,21,0.23,27.72,3.99,2003-04-21
37.72531,-97.79759,2003,4,22,4.96,17.89,4.11,2003-04-22
37.72531,-97.79759,2003,4,23,26.79,1.44,10.35,2003-04-23
37.72531,-97.79759,2003,4,24,6.28,13.18,4.22,2003-04-24
37.72531,-97.79759,2003,4,25,0.01,10.62,5.68,2003-04-25
37.72531,-97.79759,2003,4,26,0,25.09,5.96,2003-04-26
37.72531,-97.79759,2003,4,27,0.01,10.84,5.37,2003-04-27
37.72531,-97.79759,2003,4,28,0.1,22,4.01,2003-04-28
37.72531,-97.79759,2003,4,29,0.31,27.94,6.07,2003-04-29
37.72531,-97.79759,2003,4,30,2.33,26.24,7.95,2003-04-30
37.72531,-97.79759,2003,5,1,2.62,11.48,5.22,2003-05-01
37.72531,-97.79759,2003,5,2,0.13,23.9,3.42,2003-05-02
37.72531,-97.79759,2003,5,3,0.17,9.18,6.51,2003-05-03
37.72531,-97.79759,2003,5,4,1.02,26.86,5.98,2003-05-04
37.72531,-97.79759,2003,5,5,0.15,28.08,4.16,2003-05-05
37.72531,-97.79759,2003,5,6,0.34,21.53,7.11,2003-05-06
37.72531,-97.79759,2003,5,7,0.12,22.18,3.01,2003-05-07
37.72531,-97.79759,2003,5,8,2.01,22.43,6.6,2003-05-08
37.72531,-97.79759,2003,5,9,0.61,27.54,4.88,2003-05-09
37.72531,-97.79759,2003,5,10,1.15,22.93,5.56,2003-05-10
37.72531,-97.79759,2003,5,11,0,30.02,7.67,2003-05-11
37.72531,-97.79759,2003,5,12,0.54,28.44,5.55,2003-05-12
37.72531,-97.79759,2003,5,13,8.56,23.62,6.74,2003-05-13
37.72531,-97.79759,2003,5,14,4.31,23.54,3.19,2003-05-14
37.72531,-97.79759,2003,5,15,4.7,7.52,5.08,2003-05-15
37.72531,-97.79759,2003,5,16,35.52,4.14,3.98,2003-05-16
37.72531,-97.79759,2003,5,17,0,30.17,4.16,2003-05-17
37.72531,-97.79759,2003,5,18,0.38,20.7,4.32,2003-05-18
37.72531,-97.79759,2003,5,19,5.42,6.73,9.78,2003-05-19
37.72531,-97.79759,2003,5,20,0.07,25.6,7.47,2003-05-20
37.72531,-97.79759,2003,5,21,0.19,29.23,2.12,2003-05-21
37.72531,-97.79759,2003,5,22,0.98,20.99,2.15,2003-05-22
37.72531,-97.79759,2003,5,23,24.73,18.97,2.83,2003-05-23
37.72531,-97.79759,2003,5,24,8.06,23.83,2.22,2003-05-24
37.72531,-97.79759,2003,5,25,0.08,27.29,4.41,2003-05-25
37.72531,-97.79759,2003,5,26,0,23.26,2.75,2003-05-26
37.72531,-97.79759,2003,5,27,0,29.95,3.11,2003-05-27
37.72531,-97.79759,2003,5,28,0,26.68,3.29,2003-05-28
37.72531,-97.79759,2003,5,29,0.06,31.03,6.52,2003-05-29
37.72531,-97.79759,2003,5,30,0,29.38,4.38,2003-05-30
37.72531,-97.79759,2003,5,31,3.34,14.69,6.92,2003-05-31
37.72531,-97.79759,2003,6,1,3.93,24.84,5.06,2003-06-01
37.72531,-97.79759,2003,6,2,14.17,24.62,8.08,2003-06-02
37.72531,-97.79759,2003,6,3,0.2,14.36,3.53,2003-06-03
37.72531,-97.79759,2003,6,4,2.81,9.94,3.3,2003-06-04
37.72531,-97.79759,2003,6,5,17.72,13.18,3.42,2003-06-05
37.72531,-97.79759,2003,6,6,0.17,31.46,7.08,2003-06-06
37.72531,-97.79759,2003,6,7,1.86,8.5,5.95,2003-06-07
37.72531,-97.79759,2003,6,8,0,32.29,3.86,2003-06-08
37.72531,-97.79759,2003,6,9,0.17,22,5.62,2003-06-09
37.72531,-97.79759,2003,6,10,0.91,14.9,5.33,2003-06-10
37.72531,-97.79759,2003,6,11,3.61,26.35,4.82,2003-06-11
37.72531,-97.79759,2003,6,12,0.7,22.75,1.3,2003-06-12
37.72531,-97.79759,2003,6,13,0.59,14.4,1.92,2003-06-13
37.72531,-97.79759,2003,6,14,1.29,17.78,2.37,2003-06-14
37.72531,-97.79759,2003,6,15,0.02,27.4,2.35,2003-06-15
37.72531,-97.79759,2003,6,16,0.26,26.46,2.37,2003-06-16
37.72531,-97.79759,2003,6,17,0.14,24.77,2.61,2003-06-17
37.72531,-97.79759,2003,6,18,1.03,23.58,2.3,2003-06-18
37.72531,-97.79759,2003,6,19,5.71,9.9,3,2003-06-19
37.72531,-97.79759,2003,6,20,0.96,15.84,2.7,2003-06-20
37.72531,-97.79759,2003,6,21,0.67,24.34,3.13,2003-06-21
37.72531,-97.79759,2003,6,22,0.02,27.36,3.58,2003-06-22
37.72531,-97.79759,2003,6,23,0,28.3,4.09,2003-06-23
37.72531,-97.79759,2003,6,24,0.35,24.59,3.81,2003-06-24
37.72531,-97.79759,2003,6,25,5.54,22.07,5.88,2003-06-25
37.72531,-97.79759,2003,6,26,0.22,26.6,4.98,2003-06-26
37.72531,-97.79759,2003,6,27,0.62,29.12,1.81,2003-06-27
37.72531,-97.79759,2003,6,28,7.61,23.58,3.1,2003-06-28
37.72531,-97.79759,2003,6,29,3.34,16.49,2.5,2003-06-29
37.72531,-97.79759,2003,6,30,0.05,27.22,3.3,2003-06-30
37.72531,-97.79759,2003,7,1,0,29.95,3.56,2003-07-01
37.72531,-97.79759,2003,7,2,0,30.82,2.43,2003-07-02
37.72531,-97.79759,2003,7,3,0,31,3.1,2003-07-03
37.72531,-97.79759,2003,7,4,0.08,30.67,3.97,2003-07-04
37.72531,-97.79759,2003,7,5,0.39,30.89,4.55,2003-07-05
37.72531,-97.79759,2003,7,6,0,29.66,3.67,2003-07-06
37.72531,-97.79759,2003,7,7,0.36,22.03,4.47,2003-07-07
37.72531,-97.79759,2003,7,8,1.21,27.97,3.78,2003-07-08
37.72531,-97.79759,2003,7,9,5.68,27.58,7.27,2003-07-09
37.72531,-97.79759,2003,7,10,0.12,30.71,1.97,2003-07-10
37.72531,-97.79759,2003,7,11,0.18,30.02,6.4,2003-07-11
37.72531,-97.79759,2003,7,12,0.05,22.03,4.93,2003-07-12
37.72531,-97.79759,2003,7,13,0.07,30.1,2.06,2003-07-13
37.72531,-97.79759,2003,7,14,0,28.69,6.13,2003-07-14
37.72531,-97.79759,2003,7,15,0,29.56,5.85,2003-07-15
37.72531,-97.79759,2003,7,16,0,26.39,4.98,2003-07-16
37.72531,-97.79759,2003,7,17,0,29.02,4.02,2003-07-17
37.72531,-97.79759,2003,7,18,0.01,27.68,4.45,2003-07-18
37.72531,-97.79759,2003,7,19,0.07,22.86,2.94,2003-07-19
37.72531,-97.79759,2003,7,20,1.14,13.97,2.73,2003-07-20
37.72531,-97.79759,2003,7,21,3.85,27.76,5.8,2003-07-21
37.72531,-97.79759,2003,7,22,0.91,27.14,5.65,2003-07-22
37.72531,-97.79759,2003,7,23,0,27.97,1.56,2003-07-23
37.72531,-97.79759,2003,7,24,0,27.83,4.04,2003-07-24
37.72531,-97.79759,2003,7,25,0.01,27.18,3.78,2003-07-25
37.72531,-97.79759,2003,7,26,0,26.03,3.14,2003-07-26
37.72531,-97.79759,2003,7,27,0,26.42,3.32,2003-07-27
37.72531,-97.79759,2003,7,28,3.01,25.56,3.37,2003-07-28
37.72531,-97.79759,2003,7,29,0.39,23.9,2.28,2003-07-29
37.72531,-97.79759,2003,7,30,2.98,26.5,3.51,2003-07-30
37.72531,-97.79759,2003,7,31,0.65,27.14,2.91,2003-07-31
37.72531,-97.79759,2003,8,1,11.14,16.88,2.76,2003-08-01
37.72531,-97.79759,2003,8,2,4.19,27.83,2.01,2003-08-02
37.72531,-97.79759,2003,8,3,0.13,25.16,3.02,2003-08-03
37.72531,-97.79759,2003,8,4,0.33,14.58,2.55,2003-08-04
37.72531,-97.79759,2003,8,5,0.42,25.88,3,2003-08-05
37.72531,-97.79759,2003,8,6,0.07,27.72,3.12,2003-08-06
37.72531,-97.79759,2003,8,7,0.19,24.91,2.12,2003-08-07
37.72531,-97.79759,2003,8,8,0.19,17.21,2.26,2003-08-08
37.72531,-97.79759,2003,8,9,0.18,27,3.21,2003-08-09
37.72531,-97.79759,2003,8,10,1.66,26.03,2,2003-08-10
37.72531,-97.79759,2003,8,11,0.08,22.46,6.42,2003-08-11
37.72531,-97.79759,2003,8,12,0,23.69,3.14,2003-08-12
37.72531,-97.79759,2003,8,13,0,22.68,2.53,2003-08-13
37.72531,-97.79759,2003,8,14,0,17.39,3.58,2003-08-14
37.72531,-97.79759,2003,8,15,0,22.72,2.23,2003-08-15
37.72531,-97.79759,2003,8,16,0,24.88,2.16,2003-08-16
37.72531,-97.79759,2003,8,17,0,24.88,3.9,2003-08-17
37.72531,-97.79759,2003,8,18,0.61,23.83,3.37,2003-08-18
37.72531,-97.79759,2003,8,19,0.74,22.57,5.06,2003-08-19
37.72531,-97.79759,2003,8,20,0.47,21.31,3.65,2003-08-20
37.72531,-97.79759,2003,8,21,0.18,24.01,3.02,2003-08-21
37.72531,-97.79759,2003,8,22,0.83,20.09,2.52,2003-08-22
