"","PRECTOT","ALLSKY_SFC_SW_DWN","DO","elev","pH","Spc","Temp","Turb","Bicarb","Brom","Si","TKN","NH","NO","OP","DP","TP","TN","FC","Chl.a","Fe","SSC","TNTP","NONH","Cyano","category"
"18",0.04,12.85,8.3,1420.17,8.33,984,14.8,21.8,218,0.12,10.14,0.738,0.12,0.034,0.029,0.04,0.08,0.739,1,5.4,1190,40,9.24,0.29,405,"safe"
"19",0.14,24.34,5.3,1419.06,8.75,841,26.4,30.3,195,0.08,30.47,0.583,0.11,0.06,0.19,0.23,0.22,0.643,1,2.4,1410,23,2.92,0.55,2685,"medium"
"20",0,25.22,6.26,1421.87,8.35,880,25.9,10.2,198,0.11,5.44,0.66,0.015,0.095,0.063,0.08,0.1,0.769,8,17.4,450,14,7.69,6.32,15018,"high_alert"
"21",0,27.18,10.12,1422.67,8.78,953,25,4.3,205,0.12,2.02,0.608,0.015,0.005,0.017,0.03,0.05,0.629,1,9.3,240,6,12.58,0.33,14313,"high_alert"
"22",0,11.28,15.2,1421.8,8.61,836,0.9,8.5,209,0.08,6.43,0.796,0.015,0.22,0.01,0.015,0.04,1.016,1,22.4,410,10,25.4,14.67,6390,"medium"
"23",4.24,22.21,6.68,1421.46,8.29,767,26.8,22.2,179,0.08,9.23,0.701,0.04,0.17,0.06,0.089,0.117,0.871,4,15.6,1080,24,7.44,4.25,14652,"high_alert"
"24",0,10.07,11.57,1421.83,8.4,805,0.9,12,190,0.1,10.7,0.559,0.09,0.58,0.07,0.09,0.1,1.139,2,2.8,660,11,11.39,6.44,1,"safe"
"25",0,22.39,6.4,1422.49,8.11,750,24.5,29.8,180,0.07,15.06,0.602,0.06,0.47,0.09,0.111,0.227,1.072,1,4.2,1060,8,4.72,7.83,656,"low"
"26",0,15,12.72,1421.75,8.25,761,1.6,32.6,180,0.09,25.93,0.486,0.11,0.93,0.15,0.19,0.21,1.416,0.5,1.7,1310,11,6.74,8.45,1,"safe"
"27",1.24,6.59,8,1421.66,8.27,745,17.3,20.3,177,83,10.43,0.55,0.015,0.37,0.07,0.07,0.07,0.92,33,4,1070,20,13.14,24.67,1,"safe"
"28",0,10.69,10.4,1418.06,8.19,903,3.9,7.6,177,0.07,7.77,0.939,0.1,0.15,0.005,0.015,0.088,1.089,3,15,200,9,12.38,1.5,8377,"high_alert"
"29",0,10.48,10.96,1421.78,8.22,811,5.3,13.1,195,0.09,10.32,0.541,0.04,0.48,0.04,0.06,0.09,1.021,6,6.7,770,16,11.34,12,4754,"medium"
"30",0,12.63,15.16,1421.71,8.59,837,0.7,6.9,200,0.08,3.23,0.745,0.03,0.09,0.01,0.04,0.015,0.835,1,47.2,270,12,55.67,3,8705,"high_alert"
"31",0.01,16.76,12.21,1421.61,8.42,826,5.3,4.9,194,0.07,3.86,0.681,0.015,0.07,0.01,0.015,0.04,0.751,2,21.9,390,11,18.78,4.67,1880,"low"
"32",0,18.59,7.41,1417.41,8.71,899,18.4,33.6,209,0.1,20.3,0.667,0.1,0.051,0.214,0.19,0.22,0.718,2,8,1770,32,3.26,0.51,280,"safe"
"33",0,28.51,9.4,1421.59,8.04,825,16.1,20.9,187,0.06,7.97,0.645,0.08,0.39,0.03,0.033,0.113,1.035,4,2.2,231,17,9.16,4.88,84,"safe"
"34",1.32,23.14,5.77,1421.12,8.13,772,25.1,14.5,183,0.08,8.71,0.591,0.06,0.18,0.06,0.08,0.1,0.771,0.5,3.8,860,16,7.71,3,5542,"medium"
"35",0,24.54,5.69,1425.93,8.19,765,24.1,17.4,173,0.08,17.15,0.603,0.04,0.073,0.166,0.17,0.19,0.651,1,3.4,840,13,3.43,1.82,878,"low"
"36",0,18.01,16.95,1421.7,8.92,773,2.4,11.8,168,0.07,3.39,1.096,0.09,0.01,0.01,0.015,0.08,1.106,0.5,73.5,300,17,13.83,0.11,9,"safe"
"37",0.01,17.44,11.39,1414.03,8.48,1112,7.2,14.5,233,0.12,5.12,0.587,0.015,0.005,0.013,0.015,0.07,0.692,12,19.8,640,18,9.89,0.33,1,"safe"
"38",0,24.62,10.83,1421.97,8.39,851,7.7,17.7,200,0.08,7.75,0.75,0.04,0.02,0.01,0.03,0.09,0.77,1,20.8,980,21,8.56,0.5,4767,"medium"
"39",0.02,14.3,12.63,1418.51,8.29,919,1.8,19.2,206,0.09,15.68,0.54,0.045,0.396,0.126,0.13,0.158,0.948,7,9.2,1020,22,6.02,8.74,1,"safe"
"40",0.07,5.81,16.8,1421.83,9.08,825,0.6,8,207,0.11,9.24,0.791,0.015,0.41,0.01,0.03,0.09,1.201,0.5,65.2,380,8,13.34,27.33,2855,"medium"
"41",1.66,22.72,7.62,1422.32,8.54,737,24.8,23.1,151,0.04,9.48,0.685,0.015,0.97,0.02,0.033,0.079,1.655,0.5,12.5,319,15,20.95,64.67,930,"low"
"42",0,22.07,5.91,1419.99,8.42,852,27,11.6,200,0.09,1.44,0.59,0.08,0.03,0.005,0.09,0.11,0.62,1,3.1,358,13,5.64,0.38,48,"safe"
"43",10.72,11.71,7.96,1423.34,8.06,842,14.9,20.7,196,0.08,11.41,0.836,0.23,0.07,0.04,0.05,0.08,0.906,63,2.2,1230,17,11.33,0.3,362,"safe"
"44",0.09,10.71,10.01,1414.39,8.59,1077,10.9,25.7,223,0.13,11.98,0.636,0.015,0.059,0.097,0.11,0.13,0.695,38,13.9,1150,48,5.35,3.93,1,"safe"
"45",0,22.61,10.9,1421.54,8.34,872,14.6,10.9,207,0.07,12.03,0.727,0.13,0.06,0.02,0.032,0.114,0.787,2,3.2,1107,15,6.9,0.46,1191,"low"
"46",0.9,26.86,6.84,1422.13,8.35,805,25.4,17.7,191,0.08,8.51,0.749,0.03,0.24,0.05,0.07,0.12,0.989,2.5,11,860,18,8.24,8,7884,"high_alert"
"47",0,29.02,8.38,1421.02,8.51,805,27.4,29.6,177,0.06,7.53,1.254,0.015,0.02,0.04,0.048,0.125,1.274,0.5,25.6,266,13,10.19,1.33,13910,"high_alert"
"48",0.17,27.9,6.48,1422.28,8.56,758,26.1,13,171,0.05,3.28,0.72,0.04,0.04,0.03,0.03,0.05,0.76,2,3.7,309,9,15.2,1,2645,"medium"
"49",0.69,14.47,7.92,1418.69,8.2,863,17.1,19,166,0.02,9.27,0.817,0.17,0.18,0.03,0.015,0.134,0.997,20,21.9,290,21,7.44,1.06,100983,"very_high_alert"
"50",0.87,19.7,6.41,1421.65,8.02,765,22.1,23,193,0.09,17.21,0.669,0.13,0.49,0.08,0.09,0.13,1.159,1,2.6,1360,18,8.92,3.77,107,"safe"
"51",0,23.8,7.09,1418.23,8.51,881,23.6,31.7,200,0.1,29.53,0.577,0.03,0.24,0.23,0.38,0.39,0.817,13,12.7,1520,32,2.09,8,3217,"medium"
"52",0,28.68,6.92,1418.75,8.45,980,25.4,25.2,212,0.11,15.23,0.548,0.03,0.15,0.098,0.1,0.12,0.698,0.5,4.9,1100,32,5.82,5.02,7377,"high_alert"
"53",1.41,17.99,5.96,1421.57,8.42,752,25.8,10.7,185,0.06,5.03,0.738,0.07,0.04,0.05,0.062,0.091,0.778,1,20.2,540,10,8.55,0.57,4412,"medium"
"54",28.77,27.63,4.97,1422.52,8.14,865,25,14.9,196,0.11,5.89,0.623,0.11,0.111,0.072,0.1,0.11,0.785,4,8.4,650,24,7.14,1,35,"safe"
"55",13.13,27.4,6.77,1424.99,8.02,744,21.3,20.5,168,0.09,13.16,0.912,0.47,0.25,0.08,0.114,0.172,1.162,11,2.7,1180,11,6.76,0.53,18,"safe"
"56",0.29,12.1,5.36,1421.32,8.09,818,24.6,14.5,189,0.07,9.31,0.604,0.04,0.24,0.07,0.09,0.11,0.844,1,7.2,730,14,7.67,6,12420,"high_alert"
"57",0,11.37,12.65,1419.98,8.68,929,4.1,5.5,205,0.12,7.57,0.667,0.04,0.005,0.012,0.015,0.06,0.695,3,13.4,280,9,11.58,0.13,10203,"high_alert"
"58",0.18,13.21,14.42,1421.65,8,891,1.2,1.6,198,0.08,8.55,0.556,0.015,0.01,0.005,0.015,0.015,0.566,1,8.7,95,4,37.73,0.67,2228,"medium"
"59",0.62,9.86,5.82,1422.05,7.87,725,25.2,11.9,171,0.06,9.33,0.705,0.015,0.13,0.05,0.015,0.04,0.835,2,12.4,355,12,20.88,8.67,19544,"high_alert"
"60",0.01,16.48,8.24,1423.72,8.23,850,16.1,23.7,200,0.09,11.22,1.02,0.35,0.18,0.05,0.066,0.094,1.2,17,2.5,1350,27,12.77,0.51,367,"safe"
"61",0,16,9.21,1421.1,8.38,777,14.5,23.8,196,0.11,8.13,0.664,0.07,0.136,0.091,0.08,0.17,0.821,29,13,1060,23,4.83,1.95,2892,"medium"
"62",0.92,21.24,8.2,1423.19,8.66,730,26.8,17.3,191,0.07,6.2,0.924,0.015,0.57,0.06,0.057,0.101,1.494,1,19.7,318,5,14.79,38,25600,"high_alert"
"63",4.9,17.95,7.43,1421.13,8.47,822,25.1,13.4,187,0.05,7.09,0.722,0.015,0.06,0.03,0.06,0.09,0.782,1,10.9,700,12,8.69,4,7519,"high_alert"
"64",0,11.8,8.68,1420.36,8.21,904,16.8,13.6,204,0.12,10.22,0.553,0.03,0.018,0.024,0.04,0.07,0.757,40,15.5,670,32,10.81,0.61,11406,"high_alert"
"65",3.88,22.54,8.03,1419.8,8.53,859,27.7,11.5,166,0.03,15.74,1.188,0.03,0.17,0.01,0.03,0.081,1.358,2.5,27.5,500,14,16.77,5.67,83054,"very_high_alert"
"66",0,12.05,10.68,1421.48,8.26,791,9.3,20.5,205,0.09,8.53,0.606,0.06,0.191,0.075,0.04,0.07,0.805,7,6.4,1140,33,11.5,3.19,5053,"medium"
"67",1.47,14.15,11.6,1421.77,8.52,761,5.2,18.2,178,0.08,25.19,0.537,0.04,0.87,0.12,0.15,0.17,1.407,1,11.5,1100,22,8.28,21.75,1,"safe"
"68",0.47,12.7,12.63,1421.12,8.52,862,1.9,2.6,200,0.1,0.97,0.668,0.04,0.19,0.01,0.03,0.03,0.858,1.5,10.8,120,4,28.6,4.75,28601,"high_alert"
"69",0,8.75,11.72,1420.34,8.31,829,1.9,6.2,193,0.1,2.88,0.596,0.05,0.17,0.02,0.061,0.066,0.766,3,4.5,320,6,11.61,3.4,6811,"high_alert"
"70",0.02,13.1,12.7,1421.55,8.05,835,7.7,5.5,199,0.04,8.4,0.747,0.015,0.1,0.005,0.015,0.065,0.847,4,19.2,590,7,13.03,6.67,3803,"medium"
"71",0.01,29.2,7.44,1418.96,8.35,978,23.7,30.2,212,0.11,14.12,0.477,0.015,0.264,0.094,0.1,0.14,0.741,2,5.8,1320,29,5.29,17.63,241,"safe"
"72",0.5,16.99,7.68,1424.08,8.29,835,18.1,9.5,179,0.08,4,0.753,0.13,0.11,0.05,0.044,0.092,0.863,32,1.2,480,8,9.38,0.85,22,"safe"
"73",0,28.19,4.87,1422.7,8.11,747,26.7,21,171,0.07,13.74,0.839,0.07,0.44,0.11,0.11,0.13,1.279,26,3.6,1150,78,9.84,6.29,1251,"low"
"74",2.88,6.06,8.79,1421.43,8.44,803,17.5,34.9,185,0.09,28.3,0.547,0.05,0.85,0.13,0.15,0.18,1.397,3,2.4,1980,35,7.76,17,1,"safe"
"75",0,10.48,13.6,1418.63,8.29,951,2.5,3.5,184,0.07,0.81,0.712,0.06,0.2,0.005,0.038,0.061,0.912,0.5,10.4,50,2,14.95,3.33,3267,"medium"
"76",1.02,23.88,5.24,1421.43,8.19,763,25.4,17.7,187,0.08,8.08,0.728,0.12,0.07,0.08,0.08,0.11,0.798,3,3.4,940,17,7.25,0.58,705,"low"
"77",0,7.95,12.6,1421.68,8.42,849,0.8,6.7,207,0.1,9.82,0.713,0.11,0.68,0.07,0.08,0.09,1.393,0.5,1.7,410,5,15.48,6.18,1,"safe"
"78",9.26,23.15,8.21,1421.58,8.34,854,23.7,10,189,0.05,9.34,0.84,0.13,0.08,0.03,0.015,0.069,0.92,1,16.1,270,7,13.33,0.62,98382,"very_high_alert"
"79",0,11.77,9.84,1421.82,8.36,857,13.4,15.6,196,0.06,11.5,0.688,0.07,0.03,0.005,0.015,0.085,0.718,2,7.5,315,15,8.45,0.43,4534,"medium"
"80",0,14.54,8.94,1421.26,7.82,742,14.5,14.5,174,0.06,9.68,0.743,0.06,0.04,0.01,0.015,0.07,0.783,12,8.1,226,21,11.19,0.67,1839,"low"
"81",0,25.03,6.47,1421.94,8.17,643,26,37.8,158,0.06,25.57,0.538,0.05,0.48,0.16,0.18,0.19,1.018,71,3.8,1810,34,5.36,9.6,1,"safe"
"82",0.06,25.34,6.8,1421.71,7.9,875,21.4,9.4,200,0.08,8.92,0.741,0.11,0.03,0.02,0.04,0.08,0.771,1,0.9,150,7,9.64,0.27,138,"safe"
"83",0,28.8,6.54,1421.55,8.31,735,25.7,22.6,185,0.19,10.42,0.806,0.1,0.07,0.06,0.094,0.096,0.876,2,24.4,413,2,9.13,0.7,26944,"high_alert"
"84",0.02,15.62,9.58,1421.86,8.26,752,12.2,14.8,176,0.1,9.94,0.58,0.04,0.42,0.07,0.09,0.09,1,140,2.5,850,14,11.11,10.5,1,"safe"
"85",0,12.16,12.27,1421.61,8.84,845,4.4,7.7,195,0.08,3.47,0.634,0.015,0.06,0.01,0.015,0.05,0.694,4,24.9,380,10,13.88,4,5268,"medium"
"86",0.55,22.69,9.62,1422.17,8.31,871,10.3,19.1,200,0.1,9.19,0.846,0.12,0.01,0.01,0.03,0.082,0.856,12,9.6,1020,23,10.44,0.08,5892,"medium"
"87",0,18.36,7.04,1419.17,8.3,850,20.8,21.6,163,0.02,0.79,0.908,0.08,0.06,0.04,0.037,0.088,0.968,4,31.3,9700,26,11,0.75,53810,"high_alert"
"88",0.01,24.57,6.64,1416.25,8.34,1053,23.4,25,219,0.13,15.63,0.631,0.04,0.144,0.117,0.135,0.15,0.789,1,9.1,1040,24,5.26,3.6,356,"safe"
"89",0,25.95,8.87,1421.71,8.41,875,17.9,18.1,207,0.11,7.18,0.678,0.09,0.048,0.038,0.05,0.07,0.774,3,11.9,840,23,11.06,0.53,2349,"medium"
"90",3.94,22.07,7.58,1418.1,8.6,999,27.8,22,215,0.12,13.43,0.579,0.05,0.04,0.103,0.12,0.16,0.619,5,20.5,850,19,3.87,0.79,1860,"low"
"91",0,25.3,8.56,1421.86,8.29,854,11.6,9.2,205,0.1,3.16,0.801,0.06,0.005,0.014,0.015,0.05,0.811,0.5,6.1,430,17,16.22,0.08,4319,"medium"
"92",0,29.52,6.24,1421.39,8.08,858,24.4,11.7,191,0.05,9.48,0.771,0.04,0.2,0.04,0.015,0.17,0.971,6,10.9,290,12,5.71,5,1258,"low"
"93",0,18.85,7.58,1421.31,8.32,654,19.6,59.2,155,0.08,36.48,0.612,0.03,0.79,0.2,0.21,0.23,1.402,68,1.5,3280,25,6.1,26.33,1,"safe"
"94",0,5.79,13.19,1421.62,8.25,842,0.8,7.3,204,0.06,6.47,0.336,0.015,0.47,0.01,0.015,0.06,0.806,1,21.1,380,8,13.43,31.33,2141,"medium"
"95",0.01,10.51,11.94,1420.17,8.48,935,5.1,18.1,210,0.12,7.49,0.66,0.03,0.025,0.009,0.015,0.06,0.593,160,11.2,990,26,9.88,0.83,10854,"high_alert"
"96",0,27.57,7.65,1421.55,8.48,807,26.3,19.6,190,0.06,8.87,0.827,0.05,0.17,0.05,0.08,0.1,0.997,1,26.9,900,20,9.97,3.4,9229,"high_alert"
"97",3.01,25.56,10.15,1420.64,8.64,800,27.9,35.8,176,0.07,10.57,1.236,0.015,0.01,0.03,0.052,0.13,1.246,1,14.7,733,14,9.58,0.67,14271,"high_alert"
"98",0.06,18.43,6.64,1420.86,8.28,777,23.2,15.1,184,0.09,2.48,0.64,0.06,0.15,0.05,0.061,0.089,0.79,0.5,7.4,210,13,8.88,2.5,951,"low"
"99",0,23.29,9.57,1421.65,7.99,807,14.6,38.9,178,0.07,10.71,0.715,0.06,0.75,0.01,0.03,0.08,1.465,9,7.6,415,33,18.31,12.5,16662,"high_alert"
"100",1.61,20.23,7.72,1422.86,8.61,743,27,17.7,184,0.07,12.22,0.73,0.015,0.24,0.06,0.125,0.167,0.97,10,20.6,890,14,5.81,16,1236,"low"
"101",12.04,26.96,8.52,1424.27,8.19,841,23.5,15,198,0.07,10,0.792,0.07,0.05,0.03,0.06,0.04,0.842,10,6.6,430,13,21.05,0.71,5847,"medium"
"102",0.02,20.02,8.71,1419.58,8.5,838,24.2,10.3,160,0.03,3.24,0.939,0.032,0.12,0.02,0.03,0.112,0.91,2.5,41.2,490,10,8.13,3.71,129836,"very_high_alert"
"103",7.63,26.91,6.28,1426.86,7.86,638,27.1,23.6,152,0.06,16.5,0.621,0.04,0.38,0.12,0.12,0.14,1.001,73,4,1330,18,7.15,9.5,153,"safe"
"104",1.89,23.73,8.04,1421.93,8.22,814,17.6,21,180,0.1,13.27,0.772,0.29,0.29,0.06,0.08,0.1,1.062,0.5,1.2,1210,18,10.62,1,1,"safe"
"105",0,20.4,7.58,1421.48,8.51,761,21.4,26.6,191,0.08,7.99,0.656,0.07,0.14,0.114,0.07,0.1,0.853,4,14.1,1060,25,8.53,2,4107,"medium"
"106",0,10.69,11.75,1421.45,8.37,700,4.2,44.9,163,0.09,41.51,0.551,0.015,0.82,0.18,0.19,0.24,1.371,21,1.1,2820,39,5.71,54.67,1,"safe"
"107",0.1,7.59,10.19,1421.23,8.32,676,10.2,53.8,161,0.09,35.9,0.544,0.04,0.82,0.19,0.2,0.22,1.364,13,1.9,2850,51,6.2,20.5,1,"safe"
"108",7.87,7.21,13.83,1421.8,8.79,759,5.7,13.4,149,0.03,3.58,0.915,0.07,0.01,0.01,0.015,0.07,0.925,1,32.1,410,22,13.21,0.14,1,"safe"
"109",0,28.2,7.57,1416.58,8.54,1075,24.2,32.9,219,0.12,14.23,0.752,0.04,0.023,0.106,0.05,0.09,0.812,3,26.6,1160,34,9.02,0.58,30014,"high_alert"
"110",0,12.44,9.45,1421.66,7.99,786,12.7,19.8,190,0.08,9.59,0.612,0.05,0.42,0.06,0.06,0.09,1.032,38,3.7,990,18,11.47,8.4,4403,"medium"
"111",0.66,16.34,7.52,1419.12,8.41,782,22.2,13.4,188,0.09,5.32,0.722,0.06,0.12,0.03,0.06,0.11,0.842,11,16.6,830,15,7.65,2,7625,"high_alert"
"112",0,11.01,13.24,1413.78,8.66,1123,1,4,239,0.2,1.47,0.496,0.015,0.026,0.056,0.015,0.015,0.522,0.5,6.1,160,7,34.8,1.77,32993,"high_alert"
"113",0,16.25,9.15,1414.92,8.53,1062,15.7,22.2,229,0.2,11.59,0.631,0.05,0.07,0.1,0.12,0.14,0.711,60,12.5,950,23,5.08,1.4,6841,"high_alert"
"114",13.89,24.98,7.68,1420.14,8.36,860,26.8,9.9,176,0.02,9.06,0.763,0.05,0.03,0.02,0.031,0.082,0.793,1,20.5,360,9,9.67,0.6,11954,"high_alert"
"115",0,13.53,9.96,1421.48,8.24,768,11.5,27.3,198,0.08,9.37,0.653,0.05,0.141,0.081,0.08,0.11,0.812,31,11.5,1280,30,7.38,2.83,2489,"medium"
"116",0,24.01,5.07,1422.22,8.15,757,23.3,27,155,0.03,5.21,0.757,0.08,0.06,0.04,0.056,0.111,0.817,3,11.8,548,20,7.36,0.75,987,"low"
"117",0.01,28.89,7.31,1421.04,8.45,829,23.2,52.2,190,0.09,31.2,0.541,0.04,0.87,0.14,0.17,0.14,1.411,6,4.6,2550,55,10.08,21.75,1,"safe"
"118",0.01,25.18,8.8,1419.92,8.54,934,16.2,71.7,209,0.1,31.83,0.597,0.05,0.339,0.088,0.08,0.08,0.936,5,3.7,3600,66,11.7,6.78,1,"safe"
"119",1.53,3.35,9.05,1418.4,8.06,865,12.8,21.3,166,0.02,23.33,0.755,0.16,0.03,0.03,0.043,0.088,0.785,79,16.2,1700,22,8.92,0.19,40922,"high_alert"
"120",0,20.69,11.47,1421.87,8.62,847,6.4,9.3,193,0.08,4.71,0.821,0.03,0.01,0.01,0.015,0.03,0.831,1,27.5,490,11,27.7,0.33,1701,"low"
"121",13.23,9.13,8.47,1421.98,8.15,794,16.9,26.2,188,0.08,10.15,0.654,0.05,0.25,0.04,0.05,0.1,0.904,104,8.4,1290,26,9.04,5,6623,"high_alert"
"122",0.36,22.03,7.98,1421.35,8.42,809,25.6,24.1,191,0.04,7.56,0.786,0.015,0.03,0.06,0.069,0.125,0.816,107,12.3,351,18,6.53,2,5326,"medium"
"123",0.96,15.84,6.16,1421.69,8.28,807,22.3,4.8,198,0.05,5.95,0.619,0.04,0.17,0.005,0.015,0.05,0.789,1,2,534,3,15.78,4.25,2934,"medium"
"124",0.02,16.38,12.36,1423.31,8.27,814,6.4,19.5,179,0.05,10.28,0.651,0.015,0.32,0.005,0.015,0.08,0.971,4,12.3,425,15,12.14,21.33,412,"safe"
"125",0.01,20.81,11.31,1421.78,8.59,844,8.5,11.1,194,0.06,10.07,0.772,0.015,0.01,0.005,0.015,0.05,0.782,4,18.7,128,11,15.64,0.67,1966,"low"
"126",0,24.66,8.41,1422.14,8.31,728,26.8,11.4,171,0.05,8.26,0.805,0.11,0.12,0.09,0.055,0.11,0.925,1,12.1,469,11,8.41,1.09,10699,"high_alert"
"127",25.6,11.66,6.32,1424.38,7.97,741,22.7,27.8,169,0.08,19.83,0.629,0.04,0.54,0.09,0.114,0.153,1.169,16,2.2,1600,25,7.64,13.5,80,"safe"
"128",0,15.84,12.36,1418.88,8.41,930,6.9,8.9,183,0.14,3.07,0.679,0.015,0.18,0.05,0.015,0.111,0.859,0.5,20.3,400,12,7.74,12,5705,"medium"
"129",0,15.8,11.45,1421.76,8.38,823,5.2,11.7,190,0.07,5.61,0.677,0.04,0.07,0.01,0.015,0.04,0.747,2,19.8,650,18,18.68,1.75,4010,"medium"
"130",0,27.45,7.17,1416.87,8.31,1054,21.3,25.5,217,0.13,10.52,0.688,0.12,0.094,0.084,0.08,0.1,0.851,15,4.5,1240,38,8.51,0.78,1,"safe"
"131",0,10.94,13.22,1421.78,8.05,848,1,11.5,209,0.09,5.96,0.595,0.015,0.325,0.078,0.08,0.09,0.857,0.5,2.4,540,25,9.52,21.7,2112,"medium"
"132",0,23.91,6.23,1420.99,8.3,775,24.3,16.4,185,0.08,8.16,0.634,0.05,0.22,0.06,0.08,0.1,0.854,0.5,5.8,910,16,8.54,4.4,934,"low"
"133",0,13.39,9.61,1420,8.47,798,11.9,18.3,188,0.1,6.6,0.682,0.03,0.15,0.02,0.03,0.067,0.832,6,12.7,890,21,12.42,5,7788,"high_alert"
"134",1.1,20.14,6.6,1419.22,8.95,848,27.7,35.4,193,0.09,26.85,0.581,0.03,0.02,0.13,0.16,0.22,0.601,45,33.5,1130,23,2.73,0.67,40298,"high_alert"
"135",0.01,25.31,5.74,1421.46,8.07,639,28.6,30.8,160,0.07,23.61,0.577,0.015,0.44,0.16,0.15,0.2,1.017,60,5.1,1680,20,5.09,29.33,133,"safe"
"136",0,8.14,12.82,1417.24,8.46,952,2.1,27.5,210,0.11,19.09,0.517,0.06,0.368,0.145,0.21,0.22,0.853,2,5.2,1430,34,3.88,6.13,1,"safe"
"137",0,28.34,7.82,1419.65,8.31,958,20.5,25.2,115,0.14,11.19,0.542,0.03,0.37,0.084,0.09,0.1,0.903,1,6,1130,24,9.03,12.35,1,"safe"
"138",0.1,12.2,10.63,1421.47,8.46,875,11.3,20.6,189,0.1,5.72,0.814,0.14,0.18,0.02,0.015,0.12,0.994,15,18.4,690,16,8.28,1.29,2921,"medium"
