,PRECTOT,ALLSKY_SFC_SW_DWN,Temp,sin,DO,Chl-a,TP,Fe,MC
42,3.88,22.54,27.7,-0.63,8.03,27.5,0.081,500.0,1.61
43,0.01,25.18,16.2,0.96,8.8,3.7,0.08,3600.0,0.05
44,0.0,22.39,24.5,0.11,6.4,4.2,0.22699999999999998,1060.0,0.05
45,0.29,12.1,24.6,-0.74,5.36,7.2,0.11,730.0,0.19
46,0.0,13.39,11.9,-0.74,9.61,12.7,0.067,890.0,0.1
47,1.32,23.14,25.1,-0.56,5.77,3.8,0.1,860.0,0.05
48,0.0,22.02,5.5,0.97,12.62,70.4,0.09,640.0,0.18
49,0.0,23.14,9.2,1.0,10.37,24.9,0.063,640.0,0.12
50,0.01,28.89,23.2,0.31,7.31,4.6,0.14,2550.0,0.05
51,0.0,11.01,1.0,0.26,13.24,6.1,0.015,160.0,0.05
52,13.89,24.98,26.8,-0.41,7.68,20.5,0.08199999999999999,360.0,0.18
53,0.0,13.53,11.5,-0.81,9.96,11.5,0.11,1280.0,0.14
54,0.0,10.36,5.7,-0.32,11.3,10.1,0.13,1120.0,0.05
55,0.0,18.59,18.4,-1.0,7.41,8.0,0.22,1770.0,0.19
56,10.72,11.71,14.9,0.89,7.96,2.2,0.08,1230.0,0.05
57,0.0,7.2,0.5,0.3,12.74,1.7,0.25,1990.0,0.05
58,0.0,8.14,2.1,0.3,12.82,5.2,0.22,1430.0,0.1
59,0.0,25.03,26.0,-0.82,6.47,3.8,0.19,1810.0,0.05
60,3.01,25.56,27.9,-0.44,10.15,14.7,0.13,732.5,0.05
61,0.0,27.18,25.0,0.38,10.12,9.3,0.05,240.0,0.19
62,0.04,17.17,22.0,-0.97,6.54,2.4,0.09,370.0,2.91
63,12.04,26.96,23.5,0.28,8.52,6.6,0.04,430.0,0.13
64,0.0,24.01,23.3,-0.94,5.07,11.8,0.111,548.0,0.15
65,0.0,29.63,18.3,0.71,10.0,16.3,0.08,480.0,0.05
66,1.79,3.13,4.7,0.67,11.96,13.6,0.06,280.0,0.05
67,0.87,19.7,22.1,0.38,6.41,2.6,0.13,1360.0,0.05
68,0.03,19.97,8.4,0.95,11.6,32.3,0.11,690.0,0.05
69,0.0,25.81,27.9,-0.69,6.82,14.9,0.12,770.0,1.39
70,0.0,25.3,11.6,0.97,8.56,6.1,0.05,430.0,0.19
71,1.02,23.88,25.4,-0.33,5.24,3.4,0.11,940.0,0.05
72,0.0,14.15,3.7,0.86,14.64,19.8,0.015,80.0,0.05
73,0.24,27.43,27.1,-0.59,6.08,18.8,0.18600000000000003,890.0,0.66
74,0.01,11.48,4.2,0.19,14.4,21.8,0.015,268.0,0.05
75,0.02,14.3,1.8,0.7,12.63,9.2,0.158,1020.0,0.11
76,0.62,9.86,25.2,-0.92,5.82,12.4,0.04,355.0,2.08
77,5.51,7.26,6.4,0.92,11.79,22.6,0.04,350.0,0.05
78,0.0,25.79,13.9,0.88,8.29,3.5,0.083,1800.0,0.05
79,0.04,12.85,14.8,0.97,8.3,5.4,0.08,1190.0,0.05
80,0.18,13.21,1.2,0.65,14.42,8.7,0.015,95.0,0.18
81,0.0,10.94,1.0,0.26,13.22,2.4,0.09,540.0,0.11
82,0.0,12.16,4.4,0.88,12.27,24.9,0.05,380.0,0.05
83,0.14,24.34,26.4,-0.69,5.3,2.4,0.22,1410.0,0.91
84,1.24,6.59,17.3,-1.0,8.0,4.0,0.07,1070.0,0.05
85,0.0,19.14,21.6,-1.0,8.26,10.5,0.06,770.0,0.05
86,13.13,27.4,21.3,0.52,6.77,2.7,0.172,1180.0,0.23
87,0.0,28.8,25.7,-0.43,6.54,24.4,0.096,413.0,0.61
88,0.9,26.86,25.4,-0.11,6.84,11.0,0.12,860.0,0.83
89,0.5,16.99,18.1,0.81,7.68,1.2,0.092,480.0,0.1
90,0.0,11.8,16.8,-0.89,8.68,15.5,0.07,670.0,0.19
91,0.02,27.2,24.8,0.25,6.75,11.1,0.1,870.0,0.05
92,0.0,27.76,25.2,-0.35,6.78,16.1,0.12,680.0,0.45
93,0.05,21.56,14.4,0.99,9.42,8.0,0.19,3630.0,0.05
94,2.09,21.53,24.6,-0.84,6.79,11.6,0.136,442.0,0.13
95,0.1,12.2,11.3,0.99,10.63,18.4,0.12,690.0,0.05
96,0.08,28.01,25.4,0.15,7.47,29.1,0.16,900.0,0.05
97,0.0,20.4,21.4,-1.0,7.58,14.1,0.1,1060.0,0.47
98,0.0,12.05,9.3,-0.67,10.68,6.4,0.07,1140.0,0.12
99,16.18,15.77,25.6,-0.13,7.03,12.4,0.215,1210.0,0.22
100,0.0,12.44,12.7,-0.82,9.45,3.7,0.09,990.0,0.11
101,1.1,20.14,27.7,-0.6,6.6,33.5,0.22,1130.0,8.99
102,0.84,29.7,25.4,-0.2,7.65,14.0,0.092,550.0,0.17
103,0.07,5.81,0.6,0.65,16.8,65.2,0.09,380.0,0.05
104,0.47,12.7,1.9,0.66,12.63,10.8,0.03,120.0,0.15
105,0.01,25.31,28.6,-0.66,5.74,5.1,0.2,1680.0,0.05
106,0.0,21.78,20.3,-0.98,8.01,11.2,0.11,860.0,0.11
107,1.47,14.15,5.2,0.95,11.6,11.5,0.17,1100.0,0.05
108,0.06,25.34,21.4,0.5,6.8,0.9,0.08,150.0,0.05
109,0.0,23.91,24.3,-0.8,6.23,5.8,0.1,910.0,0.05
110,0.0,27.45,21.3,0.43,7.17,4.5,0.1,1240.0,0.05
111,0.01,16.76,5.3,0.82,12.21,21.9,0.04,390.0,0.05
112,0.0,11.28,0.9,0.34,15.2,22.4,0.04,410.0,0.05
113,0.0,10.56,0.3,-0.32,13.29,3.3,0.06,760.0,0.05
114,0.0,15.84,6.9,0.91,12.36,20.3,0.111,400.0,0.05
115,0.09,3.3,2.9,-0.32,12.11,1.2,0.18,1670.0,0.12
116,0.0,10.69,3.9,-0.32,10.4,15.0,0.08800000000000001,200.0,0.05
117,0.01,10.51,5.1,-0.26,11.94,11.2,0.06,990.0,0.05
118,0.06,18.43,23.2,-0.88,6.64,7.4,0.08900000000000001,210.0,0.05
119,2.88,6.06,17.5,0.77,8.79,2.4,0.18,1980.0,0.05
120,1.53,3.35,12.8,-0.91,9.05,16.2,0.08800000000000001,1700.0,0.32
121,0.86,11.16,9.7,-0.61,9.7,2.8,0.09,840.0,0.05
122,0.0,11.2,2.1,0.39,13.13,8.1,0.015,140.0,0.05
123,0.01,24.57,23.4,-0.77,6.64,9.1,0.15,1040.0,0.19
124,0.0,12.8,11.1,0.99,10.21,25.9,0.07,940.0,0.05
125,0.0,15.0,1.6,0.7,12.72,1.7,0.21,1310.0,0.05
126,0.0,24.54,24.1,-0.74,5.69,3.4,0.19,840.0,1.1
127,0.18,17.25,23.1,-0.99,7.54,2.0,0.26,2490.0,0.05
128,10.79,20.34,11.6,0.82,9.39,2.2,0.05,670.0,0.05
129,0.01,16.48,16.1,0.74,8.24,2.5,0.094,1350.0,0.05
130,12.21,22.48,26.7,-0.46,7.05,22.3,0.09,660.0,0.43
131,0.0,14.72,14.0,-0.88,8.7,9.7,0.10400000000000001,990.0,0.15
